transition,source,destination,seed,sample,performanceSeconds,steps,occupiedFraction,activity,changeRate,centroidU,centroidV
03-cellular-growth-to-replication,cellular-growth,replication,11000033,2,15.000,5800,0.057137,1.490262e-3,1.841068e-5,0.5021,0.5022
03-cellular-growth-to-replication,cellular-growth,replication,11000033,3,20.000,6400,0.069664,1.827158e-3,2.247416e-5,0.5019,0.5021
03-cellular-growth-to-replication,cellular-growth,replication,11000033,4,25.000,7000,0.086327,2.260807e-3,2.366784e-5,0.5018,0.5021
03-cellular-growth-to-replication,cellular-growth,replication,11000033,5,30.000,7600,0.101025,2.636256e-3,2.432259e-5,0.5018,0.5018
03-cellular-growth-to-replication,cellular-growth,replication,11000033,6,35.000,8200,0.116055,3.034331e-3,2.892382e-5,0.5019,0.5021
03-cellular-growth-to-replication,cellular-growth,replication,11000033,7,40.000,8800,0.136063,3.562535e-3,3.558327e-5,0.5022,0.5020
03-cellular-growth-to-replication,cellular-growth,replication,11000033,8,45.000,9400,0.155128,4.063928e-3,3.168149e-5,0.5021,0.5021
03-cellular-growth-to-replication,cellular-growth,replication,11000033,9,50.000,10000,0.172916,4.534196e-3,3.610437e-5,0.5023,0.5019
03-cellular-growth-to-replication,cellular-growth,replication,11000033,10,55.000,10600,0.196190,5.150875e-3,4.371479e-5,0.5023,0.5022
03-cellular-growth-to-replication,cellular-growth,replication,11000033,11,60.000,11200,0.220364,5.777197e-3,4.239335e-5,0.5028,0.5028
04-replication-to-connection,replication,connection,11000011,0,5.000,4600,0.036144,9.713191e-4,1.559839e-5,0.4965,0.5020
04-replication-to-connection,replication,connection,11000011,1,10.000,5200,0.047585,1.280530e-3,1.798814e-5,0.4968,0.5016
04-replication-to-connection,replication,connection,11000011,2,15.000,5800,0.058548,1.575710e-3,1.872817e-5,0.4966,0.5019
04-replication-to-connection,replication,connection,11000011,3,20.000,6400,0.068954,1.864012e-3,2.025957e-5,0.4967,0.5017
04-replication-to-connection,replication,connection,11000011,4,25.000,7000,0.083473,2.262173e-3,2.696102e-5,0.4968,0.5015
04-replication-to-connection,replication,connection,11000011,5,30.000,7600,0.099129,2.672975e-3,2.503939e-5,0.4966,0.5014
04-replication-to-connection,replication,connection,11000011,6,35.000,8200,0.114159,3.088488e-3,2.881349e-5,0.4967,0.5017
04-replication-to-connection,replication,connection,11000011,7,40.000,8800,0.132477,3.571956e-3,3.217985e-5,0.4965,0.5018
04-replication-to-connection,replication,connection,11000011,8,45.000,9400,0.152355,4.119890e-3,3.657998e-5,0.4970,0.5016
04-replication-to-connection,replication,connection,11000011,9,50.000,10000,0.175556,4.747907e-3,4.177991e-5,0.4968,0.5020
04-replication-to-connection,replication,connection,11000011,10,55.000,10600,0.200500,5.415512e-3,4.344196e-5,0.4967,0.5018
04-replication-to-connection,replication,connection,11000011,11,60.000,11200,0.226730,6.114739e-3,4.453860e-5,0.4957,0.5020
04-replication-to-connection,replication,connection,11000022,0,5.000,4600,0.036324,9.766629e-4,1.568823e-5,0.4954,0.5020
04-replication-to-connection,replication,connection,11000022,1,10.000,5200,0.047844,1.284441e-3,1.795972e-5,0.4953,0.5019
04-replication-to-connection,replication,connection,11000022,2,15.000,5800,0.058533,1.576037e-3,1.918001e-5,0.4954,0.5019
04-replication-to-connection,replication,connection,11000022,3,20.000,6400,0.068462,1.863674e-3,1.976752e-5,0.4956,0.5020
04-replication-to-connection,replication,connection,11000022,4,25.000,7000,0.083523,2.263623e-3,3.023477e-5,0.4956,0.5019
04-replication-to-connection,replication,connection,11000022,5,30.000,7600,0.100479,2.711598e-3,2.791069e-5,0.4957,0.5020
04-replication-to-connection,replication,connection,11000022,6,35.000,8200,0.116589,3.158337e-3,3.097782e-5,0.4954,0.5019
04-replication-to-connection,replication,connection,11000022,7,40.000,8800,0.135750,3.666305e-3,3.365497e-5,0.4956,0.5020
04-replication-to-connection,replication,connection,11000022,8,45.000,9400,0.155785,4.206199e-3,3.622532e-5,0.4956,0.5019
04-replication-to-connection,replication,connection,11000022,9,50.000,10000,0.180267,4.850717e-3,3.964909e-5,0.4959,0.5018
04-replication-to-connection,replication,connection,11000022,10,55.000,10600,0.204029,5.501989e-3,4.076749e-5,0.4961,0.5018
04-replication-to-connection,replication,connection,11000022,11,60.000,11200,0.227623,6.146277e-3,4.413125e-5,0.4960,0.5018
04-replication-to-connection,replication,connection,11000033,0,5.000,4600,0.036228,9.757786e-4,1.581648e-5,0.5020,0.5021
04-replication-to-connection,replication,connection,11000033,1,10.000,5200,0.047657,1.284533e-3,1.807072e-5,0.5021,0.5024
04-replication-to-connection,replication,connection,11000033,2,15.000,5800,0.058411,1.577426e-3,1.879426e-5,0.5020,0.5023
04-replication-to-connection,replication,connection,11000033,3,20.000,6400,0.068714,1.863009e-3,1.988047e-5,0.5021,0.5021
04-replication-to-connection,replication,connection,11000033,4,25.000,7000,0.084240,2.266700e-3,2.915341e-5,0.5021,0.5022
04-replication-to-connection,replication,connection,11000033,5,30.000,7600,0.099503,2.700221e-3,2.721976e-5,0.5021,0.5022
04-replication-to-connection,replication,connection,11000033,6,35.000,8200,0.116451,3.152152e-3,2.927892e-5,0.5022,0.5026
04-replication-to-connection,replication,connection,11000033,7,40.000,8800,0.135403,3.656225e-3,3.403253e-5,0.5026,0.5023
04-replication-to-connection,replication,connection,11000033,8,45.000,9400,0.155308,4.200493e-3,3.691570e-5,0.5022,0.5028
04-replication-to-connection,replication,connection,11000033,9,50.000,10000,0.178841,4.830019e-3,3.893443e-5,0.5024,0.5026
04-replication-to-connection,replication,connection,11000033,10,55.000,10600,0.202309,5.458820e-3,4.080751e-5,0.5025,0.5026
04-replication-to-connection,replication,connection,11000033,11,60.000,11200,0.225792,6.080849e-3,4.597767e-5,0.5023,0.5027
05-connection-to-labyrinth,connection,labyrinth,11000011,0,5.000,4600,0.143097,3.153575e-3,6.830919e-5,0.4967,0.5015
05-connection-to-labyrinth,connection,labyrinth,11000011,1,10.000,5200,0.186203,4.120979e-3,9.005453e-5,0.4969,0.5013
05-connection-to-labyrinth,connection,labyrinth,11000011,2,15.000,5800,0.232044,5.139039e-3,9.244509e-5,0.4969,0.5011
05-connection-to-labyrinth,connection,labyrinth,11000011,3,20.000,6400,0.289040,6.379179e-3,1.021075e-4,0.4975,0.5005
05-connection-to-labyrinth,connection,labyrinth,11000011,4,25.000,7000,0.342758,7.601301e-3,1.160396e-4,0.4975,0.5013
05-connection-to-labyrinth,connection,labyrinth,11000011,5,30.000,7600,0.405518,8.995502e-3,1.239655e-4,0.4969,0.5013
05-connection-to-labyrinth,connection,labyrinth,11000011,6,35.000,8200,0.472099,1.048145e-2,1.342836e-4,0.4967,0.5015
05-connection-to-labyrinth,connection,labyrinth,11000011,7,40.000,8800,0.544998,1.209485e-2,1.471381e-4,0.4977,0.5009
05-connection-to-labyrinth,connection,labyrinth,11000011,8,45.000,9400,0.601059,1.331970e-2,9.928828e-5,0.4980,0.5007
05-connection-to-labyrinth,connection,labyrinth,11000011,9,50.000,10000,0.635651,1.406668e-2,6.769283e-5,0.4978,0.5001
05-connection-to-labyrinth,connection,labyrinth,11000011,10,55.000,10600,0.655670,1.451304e-2,4.686177e-5,0.4982,0.4995
05-connection-to-labyrinth,connection,labyrinth,11000011,11,60.000,11200,0.664608,1.473878e-2,2.898267e-5,0.4990,0.4992
05-connection-to-labyrinth,connection,labyrinth,11000022,0,5.000,4600,0.141949,3.152675e-3,6.730385e-5,0.4956,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000022,1,10.000,5200,0.186428,4.126502e-3,8.077760e-5,0.4954,0.5019
05-connection-to-labyrinth,connection,labyrinth,11000022,2,15.000,5800,0.232143,5.174778e-3,9.232266e-5,0.4954,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000022,3,20.000,6400,0.287441,6.369767e-3,1.045986e-4,0.4956,0.5018
05-connection-to-labyrinth,connection,labyrinth,11000022,4,25.000,7000,0.343498,7.609765e-3,1.200042e-4,0.4956,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000022,5,30.000,7600,0.405670,9.002651e-3,1.242104e-4,0.4952,0.5019
05-connection-to-labyrinth,connection,labyrinth,11000022,6,35.000,8200,0.472343,1.052112e-2,1.342801e-4,0.4958,0.5018
05-connection-to-labyrinth,connection,labyrinth,11000022,7,40.000,8800,0.544926,1.210849e-2,1.455244e-4,0.4958,0.5017
05-connection-to-labyrinth,connection,labyrinth,11000022,8,45.000,9400,0.603024,1.334092e-2,9.880205e-5,0.4965,0.5016
05-connection-to-labyrinth,connection,labyrinth,11000022,9,50.000,10000,0.635643,1.406871e-2,6.742217e-5,0.4967,0.5014
05-connection-to-labyrinth,connection,labyrinth,11000022,10,55.000,10600,0.654209,1.449630e-2,4.591844e-5,0.4965,0.5008
05-connection-to-labyrinth,connection,labyrinth,11000022,11,60.000,11200,0.663071,1.470399e-2,2.939011e-5,0.4969,0.5005
05-connection-to-labyrinth,connection,labyrinth,11000033,0,5.000,4600,0.141975,3.154366e-3,6.710523e-5,0.5019,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000033,1,10.000,5200,0.186489,4.128289e-3,8.087006e-5,0.5021,0.5023
05-connection-to-labyrinth,connection,labyrinth,11000033,2,15.000,5800,0.232334,5.176233e-3,9.194029e-5,0.5021,0.5023
05-connection-to-labyrinth,connection,labyrinth,11000033,3,20.000,6400,0.288105,6.370106e-3,1.032467e-4,0.5020,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000033,4,25.000,7000,0.342819,7.605122e-3,1.197072e-4,0.5019,0.5021
05-connection-to-labyrinth,connection,labyrinth,11000033,5,30.000,7600,0.406410,9.007203e-3,1.242600e-4,0.5021,0.5021
05-connection-to-labyrinth,connection,labyrinth,11000033,6,35.000,8200,0.473335,1.052904e-2,1.359402e-4,0.5019,0.5026
05-connection-to-labyrinth,connection,labyrinth,11000033,7,40.000,8800,0.545166,1.209539e-2,1.451096e-4,0.5018,0.5023
05-connection-to-labyrinth,connection,labyrinth,11000033,8,45.000,9400,0.603291,1.334171e-2,1.012014e-4,0.5015,0.5020
05-connection-to-labyrinth,connection,labyrinth,11000033,9,50.000,10000,0.636364,1.407600e-2,6.853898e-5,0.5013,0.5012
05-connection-to-labyrinth,connection,labyrinth,11000033,10,55.000,10600,0.653374,1.448914e-2,4.487118e-5,0.5013,0.5012
